city,year,Civilian employed population 16 years and ove,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,,,,,,,,,
"San Francisco, CA",2007,428702,349,20241,22364,9214,37794,15759,22640,42058,86657,81359,54933,21369,13965,,,,,,,,,
"San Francisco, CA",2008,452952,451,21077,28822,8696,38579,13832,23515,43320,88245,92701,52296,24594,16824,,,,,,,,,
"San Francisco, CA",2009,446397,1448,19795,22010,9312,44317,15711,20751,44886,84814,90157,52951,23319,16926,,,,,,,,,
"San Francisco, CA",2010,446665,1130,16023,29079,10024,42315,15012,17971,38414,89930,88869,54107,25468,18323,,,,,,,,,
"San Francisco, CA",2011,450686,660,16200,26989,8446,49862,16775,19170,36213,94787,83822,58235,25360,14167,,,,,,,,,
"San Francisco, CA",2012,457285,632,14763,24733,6811,45543,15866,24667,42937,98623,85534,58740,23160,15276,,,,,,,,,
"San Francisco, CA",2013,479337,803,19827,26938,10361,48176,17285,25619,39408,106348,89988,53300,23349,17935,,,,,,,,,
"San Francisco, CA",2014,493105,1254,14867,23466,8478,47445,19722,30990,37117,112460,93032,66772,21575,15927,,,,,,,,,
"San Francisco, CA",2015,506320,1727,16573,27967,8187,50631,19160,32749,46160,115217,89027,58735,22801,17386,,,,,,,,,
"San Francisco, CA",2016,511365,1308,16668,26140,10756,44029,19492,27987,46016,125910,92455,58286,25611,16707,,,,,,,,,
